NOC,Sport,Adeptness
CHN,Table Tennis,0.45614035087719296
CHN,Trampoline Gymnastics,0.4166666666666667
CHN,Badminton,0.38425925925925924
CHN,Trampolining,0.36666666666666664
CHN,Artistic Swimming,0.3333333333333333
CHN,Diving,0.23847695390781562
CHN,Artistic Gymnastics,0.1875
CHN,Breaking,0.16666666666666666
CHN,Synchronized Swimming,0.14418604651162792
CHN,Sport Climbing,0.1111111111111111
CHN,Weightlifting,0.09749303621169916
CHN,Softball,0.08379888268156424
CHN,Cycling BMX Freestyle,0.08333333333333333
CHN,3x3 Basketball,0.08333333333333333
CHN,Canoe Sprint,0.0703125
CHN,Rhythmic Gymnastics,0.06547619047619048
CHN,Karate,0.0625
CHN,Taekwondo,0.0625
CHN,Shooting,0.06090225563909774
CHN,Volleyball,0.058981233243967826
CHN,Archery,0.053268765133171914
CHN,Gymnastics,0.04837993786063027
CHN,Beach Volleyball,0.041666666666666664
CHN,Swimming,0.03459210147016431
CHN,Golf,0.034482758620689655
CHN,Judo,0.03050397877984085
CHN,Hockey,0.01905311778290993
CHN,Basketball,0.018821603927986905
CHN,Boxing,0.01812977099236641
CHN,Tennis,0.01804123711340206
CHN,Cycling Track,0.017857142857142856
CHN,Fencing,0.016137428422696512
CHN,Rowing,0.01360965047943087
CHN,Wrestling,0.013194444444444444
CHN,Handball,0.01043338683788122
CHN,Football,0.008214676889375685
CHN,Athletics,0.008128245653646421
CHN,Cycling,0.007125890736342043
CHN,Sailing,0.00612088752869166
CHN,Modern Pentathlon,0.005050505050505051
CHN,Canoeing,0.0034334763948497852
CHN,Aeronautics,
CHN,Alpinism,
CHN,Art Competitions,
CHN,Baseball,
CHN,Baseball/Softball,
CHN,Basque Pelota,
CHN,Canoe Slalom,
CHN,Cricket,
CHN,Croquet,
CHN,Cycling BMX Racing,
CHN,Cycling Mountain Bike,
CHN,Cycling Road,
CHN,Equestrian,
CHN,Equestrianism,
CHN,Figure Skating,
CHN,Ice Hockey,
CHN,Jeu De Paume,
CHN,Lacrosse,
CHN,Marathon Swimming,
CHN,Motorboating,
CHN,Polo,
CHN,Racquets,
CHN,Roque,
CHN,Rugby,
CHN,Rugby Sevens,
CHN,Skateboarding,
CHN,Surfing,
CHN,Triathlon,
CHN,Tug-Of-War,
CHN,Water Polo,
DEN,Handball,0.08346709470304976
DEN,Cycling Track,0.06547619047619048
DEN,Badminton,0.06481481481481481
DEN,Art Competitions,0.057692307692307696
DEN,Sailing,0.05202754399387911
DEN,Gymnastics,0.04837993786063027
DEN,Equestrian,0.045454545454545456
DEN,Cycling,0.04117181314330958
DEN,Football,0.035596933187294635
DEN,Tug-Of-War,0.02608695652173913
DEN,Rowing,0.025054129291679553
DEN,Canoe Sprint,0.0234375
DEN,Shooting,0.021052631578947368
DEN,Canoeing,0.01888412017167382
DEN,Boxing,0.011450381679389313
DEN,Wrestling,0.009722222222222222
DEN,Table Tennis,0.008771929824561403
DEN,Equestrianism,0.008290155440414507
DEN,Hockey,0.006928406466512702
DEN,Swimming,0.006341885269530124
DEN,Taekwondo,0.004807692307692308
DEN,Weightlifting,0.004178272980501393
DEN,Diving,0.004008016032064128
DEN,Fencing,0.0031233732431025507
DEN,Tennis,0.002577319587628866
DEN,Athletics,0.0015804922104312486
DEN,3x3 Basketball,
DEN,Aeronautics,
DEN,Alpinism,
DEN,Archery,
DEN,Artistic Gymnastics,
DEN,Artistic Swimming,
DEN,Baseball,
DEN,Baseball/Softball,
DEN,Basketball,
DEN,Basque Pelota,
DEN,Beach Volleyball,
DEN,Breaking,
DEN,Canoe Slalom,
DEN,Cricket,
DEN,Croquet,
DEN,Cycling BMX Freestyle,
DEN,Cycling BMX Racing,
DEN,Cycling Mountain Bike,
DEN,Cycling Road,
DEN,Figure Skating,
DEN,Golf,
DEN,Ice Hockey,
DEN,Jeu De Paume,
DEN,Judo,
DEN,Karate,
DEN,Lacrosse,
DEN,Marathon Swimming,
DEN,Modern Pentathlon,
DEN,Motorboating,
DEN,Polo,
DEN,Racquets,
DEN,Rhythmic Gymnastics,
DEN,Roque,
DEN,Rugby,
DEN,Rugby Sevens,
DEN,Skateboarding,
DEN,Softball,
DEN,Sport Climbing,
DEN,Surfing,
DEN,Synchronized Swimming,
DEN,Trampoline Gymnastics,
DEN,Trampolining,
DEN,Triathlon,
DEN,Volleyball,
DEN,Water Polo,
NED,Cycling BMX Racing,0.25
NED,Cycling Road,0.25
NED,Marathon Swimming,0.25
NED,Hockey,0.17782909930715934
NED,Cycling Track,0.10714285714285714
NED,3x3 Basketball,0.08333333333333333
NED,Tug-Of-War,0.06956521739130435
NED,Equestrianism,0.058031088082901555
NED,Rowing,0.05567584287039901
NED,Cycling,0.05304829770387965
NED,Art Competitions,0.04487179487179487
NED,Sailing,0.03978576893649579
NED,Water Polo,0.036273701566364384
NED,Swimming,0.034015566445661574
NED,Judo,0.03183023872679045
NED,Artistic Swimming,0.031746031746031744
NED,Archery,0.026634382566585957
NED,Football,0.023001095290251915
NED,Equestrian,0.022727272727272728
NED,Volleyball,0.021447721179624665
NED,Beach Volleyball,0.020833333333333332
NED,Fencing,0.016137428422696512
NED,Athletics,0.011740799277489276
NED,Tennis,0.010309278350515464
NED,Canoeing,0.010300429184549357
NED,Boxing,0.007633587786259542
NED,Gymnastics,0.005326231691078562
NED,Badminton,0.004629629629629629
NED,Shooting,0.004511278195488722
NED,Weightlifting,0.004178272980501393
NED,Aeronautics,
NED,Alpinism,
NED,Artistic Gymnastics,
NED,Baseball,
NED,Baseball/Softball,
NED,Basketball,
NED,Basque Pelota,
NED,Breaking,
NED,Canoe Slalom,
NED,Canoe Sprint,
NED,Cricket,
NED,Croquet,
NED,Cycling BMX Freestyle,
NED,Cycling Mountain Bike,
NED,Diving,
NED,Figure Skating,
NED,Golf,
NED,Handball,
NED,Ice Hockey,
NED,Jeu De Paume,
NED,Karate,
NED,Lacrosse,
NED,Modern Pentathlon,
NED,Motorboating,
NED,Polo,
NED,Racquets,
NED,Rhythmic Gymnastics,
NED,Roque,
NED,Rugby,
NED,Rugby Sevens,
NED,Skateboarding,
NED,Softball,
NED,Sport Climbing,
NED,Surfing,
NED,Synchronized Swimming,
NED,Table Tennis,
NED,Taekwondo,
NED,Trampoline Gymnastics,
NED,Trampolining,
NED,Triathlon,
NED,Wrestling,
FIN,Figure Skating,0.07407407407407407
FIN,Wrestling,0.059027777777777776
FIN,Modern Pentathlon,0.05555555555555555
FIN,Gymnastics,0.043941411451398134
FIN,Art Competitions,0.03205128205128205
FIN,Athletics,0.031158275005644616
FIN,Shooting,0.030827067669172932
FIN,Sailing,0.026778882938026015
FIN,Boxing,0.015267175572519083
FIN,Archery,0.014527845036319613
FIN,Canoeing,0.01201716738197425
FIN,Rowing,0.0049489638107021346
FIN,Weightlifting,0.004178272980501393
FIN,Swimming,0.0014413375612568463
FIN,3x3 Basketball,
FIN,Aeronautics,
FIN,Alpinism,
FIN,Artistic Gymnastics,
FIN,Artistic Swimming,
FIN,Badminton,
FIN,Baseball,
FIN,Baseball/Softball,
FIN,Basketball,
FIN,Basque Pelota,
FIN,Beach Volleyball,
FIN,Breaking,
FIN,Canoe Slalom,
FIN,Canoe Sprint,
FIN,Cricket,
FIN,Croquet,
FIN,Cycling,
FIN,Cycling BMX Freestyle,
FIN,Cycling BMX Racing,
FIN,Cycling Mountain Bike,
FIN,Cycling Road,
FIN,Cycling Track,
FIN,Diving,
FIN,Equestrian,
FIN,Equestrianism,
FIN,Fencing,
FIN,Football,
FIN,Golf,
FIN,Handball,
FIN,Hockey,
FIN,Ice Hockey,
FIN,Jeu De Paume,
FIN,Judo,
FIN,Karate,
FIN,Lacrosse,
FIN,Marathon Swimming,
FIN,Motorboating,
FIN,Polo,
FIN,Racquets,
FIN,Rhythmic Gymnastics,
FIN,Roque,
FIN,Rugby,
FIN,Rugby Sevens,
FIN,Skateboarding,
FIN,Softball,
FIN,Sport Climbing,
FIN,Surfing,
FIN,Synchronized Swimming,
FIN,Table Tennis,
FIN,Taekwondo,
FIN,Tennis,
FIN,Trampoline Gymnastics,
FIN,Trampolining,
FIN,Triathlon,
FIN,Tug-Of-War,
FIN,Volleyball,
FIN,Water Polo,
NOR,Figure Skating,0.14814814814814814
NOR,Sailing,0.0971690895179801
NOR,Handball,0.09229534510433386
NOR,Shooting,0.05789473684210526
NOR,Gymnastics,0.05370616955170883
NOR,Beach Volleyball,0.041666666666666664
NOR,Football,0.02573932092004381
NOR,Rowing,0.01917723476647077
NOR,Canoeing,0.01888412017167382
NOR,Triathlon,0.017543859649122806
NOR,Taekwondo,0.009615384615384616
NOR,Art Competitions,0.00641025641025641
NOR,Wrestling,0.00625
NOR,Athletics,0.005870399638744638
NOR,Boxing,0.004770992366412214
NOR,Cycling,0.003167062549485352
NOR,Equestrianism,0.0031088082901554403
NOR,Weightlifting,0.002785515320334262
NOR,Tennis,0.002577319587628866
NOR,Swimming,0.0005765350245027386
NOR,Fencing,0.0005205622071837585
NOR,3x3 Basketball,
NOR,Aeronautics,
NOR,Alpinism,
NOR,Archery,
NOR,Artistic Gymnastics,
NOR,Artistic Swimming,
NOR,Badminton,
NOR,Baseball,
NOR,Baseball/Softball,
NOR,Basketball,
NOR,Basque Pelota,
NOR,Breaking,
NOR,Canoe Slalom,
NOR,Canoe Sprint,
NOR,Cricket,
NOR,Croquet,
NOR,Cycling BMX Freestyle,
NOR,Cycling BMX Racing,
NOR,Cycling Mountain Bike,
NOR,Cycling Road,
NOR,Cycling Track,
NOR,Diving,
NOR,Equestrian,
NOR,Golf,
NOR,Hockey,
NOR,Ice Hockey,
NOR,Jeu De Paume,
NOR,Judo,
NOR,Karate,
NOR,Lacrosse,
NOR,Marathon Swimming,
NOR,Modern Pentathlon,
NOR,Motorboating,
NOR,Polo,
NOR,Racquets,
NOR,Rhythmic Gymnastics,
NOR,Roque,
NOR,Rugby,
NOR,Rugby Sevens,
NOR,Skateboarding,
NOR,Softball,
NOR,Sport Climbing,
NOR,Surfing,
NOR,Synchronized Swimming,
NOR,Table Tennis,
NOR,Trampoline Gymnastics,
NOR,Trampolining,
NOR,Tug-Of-War,
NOR,Volleyball,
NOR,Water Polo,
ROU,Rugby,0.09937888198757763
ROU,Rowing,0.06186204763377668
ROU,Gymnastics,0.05992010652463382
ROU,Canoeing,0.05751072961373391
ROU,Handball,0.04654895666131621
ROU,Fencing,0.024986985944820406
ROU,Boxing,0.02385496183206107
ROU,Wrestling,0.022916666666666665
ROU,Weightlifting,0.019498607242339833
ROU,Shooting,0.011278195488721804
ROU,Volleyball,0.008936550491510277
ROU,Judo,0.007957559681697613
ROU,Athletics,0.007902461052156242
ROU,Artistic Gymnastics,0.0078125
ROU,Rhythmic Gymnastics,0.005952380952380952
ROU,Tennis,0.005154639175257732
ROU,Equestrianism,0.004145077720207254
ROU,Swimming,0.003170942634765062
ROU,3x3 Basketball,
