NOC,Prob
SLE,269.9542948000002
ANT,259.4410847400002
PNG,248.79136194000014
LBR,209.57190832000018
MYA,207.85198070000007
MAD,204.34855759000013
NCA,193.6132261500001
SAM,188.32437123000003
SEY,185.82218562000008
SAA,170.11071110000003
ESA,169.47030937000005
NEP,162.17938926000008
CGO,160.32686218000012
GAM,153.13112089000012
LES,150.91096820000013
ANG,148.95967094000005
MAW,145.1946323200001
BOL,141.7689352800001
BEN,139.0582402000001
GUM,134.10916035000005
COD,123.73554032000007
SWZ,118.62501402000008
LBA,117.19882678000005
HON,114.66991560000007
SKN,110.7023543200001
OMA,110.3279871100001
BIZ,105.6223945000001
RWA,103.48263556000009
GUI,101.68989953000008
COK,100.96428286000003
GEQ,98.66948972000009
MLI,95.91135392000008
CHA,95.71128964000009
LIE,94.65013255000008
VIN,93.85634388000008
MTN,93.06786661000004
ASA,92.52115710000002
IVB,91.52143835000008
CAF,90.43394131000007
GBS,90.09809564000003
LAO,88.89169944000007
SOL,88.36350340000004
MLT,86.38328650000004
MDV,84.23005220000007
SOM,83.67842504000008
BAN,78.72571311000007
BIH,75.89035756000006
VAN,75.04878262000005
NRU,65.98865408
CAM,65.73284853000004
PLW,61.02633990000001
MAL,56.77524306000002
FSM,55.826163110000024
CAY,55.680715210000045
KIR,52.24691040000002
YEM,51.91037363000004
COM,46.00969866000003
ARU,43.327368440000015
AND,42.95195662000003
STP,42.02616311000003
PLE,38.238352740000025
TUV,31.855074320000018
MHL,27.041928480000013
YAR,26.24702290000001
CRT,24.06572920000002
TLS,21.65915628000002
BRU,19.252583360000017
RHO,17.93422258000001
SSD,16.846010440000015
ROT,14.439437520000013
VNM,13.88781036000001
YMD,10.929610280000006
LBN,7.5045319400000015
NBO,4.813145840000004
BHU,2.406572920000002
NFL,2.406572920000002
UNK,0.0
