NOC,Sport,Year,Athletes
CHN,Basketball,1936,13
CHN,Basketball,1948,10
CHN,Basketball,1984,23
CHN,Basketball,1988,22
CHN,Basketball,1992,23
CHN,Basketball,1996,24
CHN,Basketball,2000,12
CHN,Basketball,2004,24
CHN,Basketball,2008,24
CHN,Basketball,2012,24
CHN,Basketball,2016,24
CHN,Basketball,2020,12
CHN,Basketball,2024,12
CHN,Judo,1984,5
CHN,Judo,1988,5
CHN,Judo,1992,10
CHN,Judo,1996,11
CHN,Judo,2000,12
CHN,Judo,2004,9
CHN,Judo,2008,14
CHN,Judo,2012,8
CHN,Judo,2016,8
CHN,Judo,2020,6
CHN,Judo,2024,6
CHN,Football,1936,11
CHN,Football,1948,11
CHN,Football,1988,14
CHN,Football,1996,15
CHN,Football,2000,13
CHN,Football,2004,15
CHN,Football,2008,35
CHN,Football,2016,15
CHN,Football,2020,22
CHN,Athletics,1932,2
CHN,Athletics,1936,32
CHN,Athletics,1948,5
CHN,Athletics,1984,24
CHN,Athletics,1988,55
CHN,Athletics,1992,38
CHN,Athletics,1996,36
CHN,Athletics,2000,32
CHN,Athletics,2004,55
CHN,Athletics,2008,69
CHN,Athletics,2012,52
CHN,Athletics,2016,57
CHN,Athletics,2020,59
CHN,Athletics,2024,59
CHN,Swimming,1936,3
CHN,Swimming,1948,1
CHN,Swimming,1952,1
CHN,Swimming,1984,31
CHN,Swimming,1988,55
CHN,Swimming,1992,42
CHN,Swimming,1996,48
CHN,Swimming,2000,49
CHN,Swimming,2004,59
CHN,Swimming,2008,65
CHN,Swimming,2012,77
CHN,Swimming,2016,75
CHN,Swimming,2020,66
CHN,Swimming,2024,85
CHN,Badminton,1992,13
CHN,Badminton,1996,22
CHN,Badminton,2000,20
CHN,Badminton,2004,20
CHN,Badminton,2008,20
CHN,Badminton,2012,18
CHN,Badminton,2016,16
CHN,Badminton,2020,14
CHN,Badminton,2024,16
CHN,Sailing,1984,4
CHN,Sailing,1988,5
CHN,Sailing,1992,3
CHN,Sailing,1996,5
CHN,Sailing,2000,4
CHN,Sailing,2004,4
CHN,Sailing,2008,18
CHN,Sailing,2012,9
CHN,Sailing,2016,8
CHN,Sailing,2020,12
CHN,Sailing,2024,13
CHN,Gymnastics,1984,84
CHN,Gymnastics,1988,84
CHN,Gymnastics,1992,84
CHN,Gymnastics,1996,91
CHN,Gymnastics,2000,74
CHN,Gymnastics,2004,72
CHN,Gymnastics,2008,62
CHN,Gymnastics,2012,45
CHN,Gymnastics,2016,45
CHN,Art Competitions,1948,5
CHN,Handball,1984,13
CHN,Handball,1988,12
CHN,Handball,1996,12
CHN,Handball,2004,14
CHN,Handball,2008,30
CHN,Weightlifting,1936,3
CHN,Weightlifting,1984,10
CHN,Weightlifting,1988,10
CHN,Weightlifting,1992,10
CHN,Weightlifting,1996,10
CHN,Weightlifting,2000,10
