NOC,Sport,Year,Athletes
AFG,Athletics,1936,3.0
AFG,Athletics,1960,9.0
AFG,Athletics,1996,2.0
AFG,Athletics,2004,2.0
AFG,Athletics,2008,2.0
AFG,Athletics,2012,2.0
AFG,Athletics,2016,2.0
AFG,Athletics,2020,2.0
AFG,Athletics,2024,2.0
AFG,Athletics,2028,1.4959959959959832
AFG,Athletics,2032,1.3143143143143021
AFG,Athletics,2036,1.132632632632621
AFG,Boxing,1980,3.0
AFG,Boxing,2004,1.0
AFG,Boxing,2012,1.0
AFG,Boxing,2028,-0.3076923076923208
AFG,Boxing,2032,-0.5769230769230944
AFG,Boxing,2036,-0.8461538461538396
AFG,Cycling Road,2024,3.0
AFG,Cycling Road,2028,3.0
AFG,Cycling Road,2032,3.0
AFG,Cycling Road,2036,3.0
AFG,Football,1948,10.0
AFG,Football,2028,10.0
AFG,Football,2032,10.0
AFG,Football,2036,10.0
AFG,Hockey,1936,13.0
AFG,Hockey,1948,12.0
AFG,Hockey,1956,12.0
AFG,Hockey,2028,8.05263157894737
AFG,Hockey,2032,7.84210526315789
AFG,Hockey,2036,7.631578947368425
AFG,Judo,2004,1.0
AFG,Judo,2012,1.0
AFG,Judo,2016,1.0
AFG,Judo,2024,1.0
AFG,Judo,2028,1.0
AFG,Judo,2032,1.0
AFG,Judo,2036,1.0
AFG,Shooting,2020,1.0
AFG,Shooting,2028,1.0
AFG,Shooting,2032,1.0
AFG,Shooting,2036,1.0
AFG,Swimming,2020,1.0
AFG,Swimming,2024,1.0
AFG,Swimming,2028,1.0
AFG,Swimming,2032,1.0
AFG,Swimming,2036,1.0
AFG,Taekwondo,2008,2.0
AFG,Taekwondo,2012,2.0
AFG,Taekwondo,2020,1.0
AFG,Taekwondo,2028,0.3571428571428328
AFG,Taekwondo,2032,-2.842170943040401e-14
AFG,Taekwondo,2036,-0.3571428571428612
AFG,Wrestling,1960,7.0
AFG,Wrestling,1964,8.0
AFG,Wrestling,1968,5.0
AFG,Wrestling,1972,8.0
AFG,Wrestling,1980,8.0
AFG,Wrestling,1988,5.0
AFG,Wrestling,2004,1.0
AFG,Wrestling,2028,-0.6559485530546567
AFG,Wrestling,2032,-1.1736334405144362
AFG,Wrestling,2036,-1.6913183279742725
AHO,Athletics,1976,2.0
AHO,Athletics,1984,4.0
AHO,Athletics,1992,1.0
AHO,Athletics,1996,1.0
AHO,Athletics,2000,2.0
AHO,Athletics,2004,2.0
AHO,Athletics,2008,2.0
AHO,Athletics,2028,1.1167664670658652
AHO,Athletics,2032,1.0119760479041915
