Country,Gold_pessimistic,Silver_pessimistic,Bronze_pessimistic,Gold_optimistic,Silver_optimistic,Bronze_optimistic,Gold,Silver,Bronze,Total
United States,47,36,23,53,41,25,51,40,25,117
China,35,35,15,46,38,20,40,36,17,95
Australia,28,20,22,33,24,24,29,22,23,71
France,23,19,19,27,20,22,24,19,21,64
Germany,18,24,14,23,26,16,21,25,15,61
United Kingdom,20,19,14,26,24,15,25,21,15,61
Japan,16,25,14,19,27,16,17,26,16,58
Italy,15,20,15,17,20,22,16,20,16,53
Spain,21,10,13,30,12,14,25,12,13,50
Netherlands,24,6,13,29,9,15,26,8,15,47
New Zealand,20,13,9,22,15,10,22,14,9,45
Canada,15,10,16,19,10,18,17,10,16,43
Brazil,8,10,13,8,11,15,8,10,14,32
Belgium,6,8,7,15,10,8,11,8,7,26
Hungary,7,6,8,8,8,9,8,8,9,25
Poland,10,7,6,12,10,8,11,9,6,25
Ireland,6,10,6,7,11,6,6,10,6,23
Argentina,4,8,7,5,10,9,4,9,8,22
Denmark,10,7,5,12,8,8,10,8,6,22
Ukraine,3,7,8,5,8,9,4,8,8,21
South Korea,10,5,4,12,6,4,11,6,4,21
Romania,10,7,3,12,8,3,12,7,3,20
Norway,11,1,4,11,3,6,11,2,6,19
South Africa,6,4,4,8,8,5,8,7,5,18
Slovenia,4,3,8,6,3,8,4,3,8,17
Kenya,5,4,4,5,7,5,5,7,4,16
Serbia,4,5,6,5,9,7,4,8,6,16
Mexico,4,4,3,6,4,5,5,4,4,15
India,1,1,4,8,4,5,7,3,4,15
Greece,3,4,2,7,4,3,7,4,3,14
Switzerland,2,4,5,5,4,6,4,4,6,14
Jamaica,1,7,2,5,12,3,4,8,2,13
Czech Republic,5,3,3,6,4,5,6,4,4,13
Uzbekistan,4,2,2,5,3,2,4,2,2,10
Nigeria,4,2,4,4,3,4,4,2,4,10
Sweden,4,4,2,5,5,5,4,4,2,10
Turkey,3,2,5,3,2,6,3,2,5,10
Finland,2,6,2,2,6,2,2,6,2,10
Colombia,5,2,0,5,3,1,5,3,0,9
Egypt,0,3,3,1,4,4,0,4,4,8
Kazakhstan,1,2,2,4,4,2,3,3,2,8
Iran,2,2,1,5,3,2,4,2,1,8
Dominican Republic,3,3,2,6,4,3,5,3,3,8
Portugal,2,3,3,2,4,3,2,3,3,8
Cuba,2,2,1,3,2,2,3,2,2,7
Unknown,1,2,2,1,2,4,1,2,2,7
Latvia,3,1,3,3,1,3,3,1,3,7
Ethiopia,2,1,0,2,6,2,2,2,2,6
Algeria,2,2,1,2,3,2,2,2,1,6
Morocco,0,2,4,0,2,5,0,2,5,6
Austria,3,0,1,3,1,2,3,0,2,6
Puerto Rico,2,3,1,4,3,2,2,3,2,6
Thailand,1,2,1,2,2,2,2,2,1,5
Croatia,2,2,0,2,2,1,2,2,1,5
Ecuador,2,0,2,3,1,3,2,0,3,5
Uganda,0,1,1,1,4,1,1,3,1,5
Angola,0,2,0,1,3,1,0,2,0,5
Israel,2,2,1,2,2,2,2,2,1,5
Mongolia,1,3,1,1,4,1,1,4,1,5
Fiji,0,1,0,2,5,1,1,4,0,5
Uruguay,0,2,0,1,3,1,0,2,0,5
Chile,0,2,0,1,3,1,0,2,0,5
Unknown,1,1,0,3,1,0,1,1,0,4
Zambia,1,3,0,1,3,0,1,3,0,4
Azerbaijan,1,0,2,1,1,2,1,1,2,4
Guinea,0,4,0,0,4,0,0,4,0,4
Georgia,1,1,0,2,2,0,2,2,0,3
Mali,0,3,0,0,3,0,0,3,0,3
Chinese Taipei,2,1,0,2,1,0,2,1,0,3
Venezuela,0,2,1,1,2,2,0,2,2,3
Paraguay,0,3,0,0,4,0,0,4,0,3
Indonesia,0,1,1,1,1,2,1,1,2,3
Peru,0,1,0,1,2,0,0,2,0,3
Iraq,0,3,0,0,3,0,0,3,0,3
Bulgaria,1,1,0,1,1,1,1,1,0,3
