Country,Gold_pessimistic,Silver_pessimistic,Bronze_pessimistic,Gold_optimistic,Silver_optimistic,Bronze_optimistic,Gold,Silver,Bronze,Total
USA,47,36,23,53,41,25,51,40,25,117
CHN,35,35,15,46,38,20,40,36,17,95
AUS,28,20,22,33,24,24,29,22,23,71
FRA,23,19,19,27,20,22,24,19,21,64
GER,18,24,14,23,26,16,21,25,15,61
GBR,20,19,14,26,24,15,25,21,15,61
JPN,16,25,14,19,27,16,17,26,16,58
ITA,15,20,15,17,20,22,16,20,16,53
ESP,21,10,13,30,12,14,25,12,13,50
NED,24,6,13,29,9,15,26,8,15,47
NZL,20,13,9,22,15,10,22,14,9,45
CAN,15,10,16,19,10,18,17,10,16,43
BRA,8,10,13,8,11,15,8,10,14,32
BEL,6,8,7,15,10,8,11,8,7,26
HUN,7,6,8,8,8,9,8,8,9,25
POL,10,7,6,12,10,8,11,9,6,25
IRL,6,10,6,7,11,6,6,10,6,23
ARG,4,8,7,5,10,9,4,9,8,22
DEN,10,7,5,12,8,8,10,8,6,22
UKR,3,7,8,5,8,9,4,8,8,21
KOR,10,5,4,12,6,4,11,6,4,21
ROU,10,7,3,12,8,3,12,7,3,20
NOR,11,1,4,11,3,6,11,2,6,19
RSA,6,4,4,8,8,5,8,7,5,18
SLO,4,3,8,6,3,8,4,3,8,17
KEN,5,4,4,5,7,5,5,7,4,16
SRB,4,5,6,5,9,7,4,8,6,16
MEX,4,4,3,6,4,5,5,4,4,15
IND,1,1,4,8,4,5,7,3,4,15
GRE,3,4,2,7,4,3,7,4,3,14
SUI,2,4,5,5,4,6,4,4,6,14
JAM,1,7,2,5,12,3,4,8,2,13
CZE,5,3,3,6,4,5,6,4,4,13
UZB,4,2,2,5,3,2,4,2,2,10
NGR,4,2,4,4,3,4,4,2,4,10
SWE,4,4,2,5,5,5,4,4,2,10
TUR,3,2,5,3,2,6,3,2,5,10
FIN,2,6,2,2,6,2,2,6,2,10
COL,5,2,0,5,3,1,5,3,0,9
EGY,0,3,3,1,4,4,0,4,4,8
KAZ,1,2,2,4,4,2,3,3,2,8
IRI,2,2,1,5,3,2,4,2,1,8
DOM,3,3,2,6,4,3,5,3,3,8
POR,2,3,3,2,4,3,2,3,3,8
CUB,2,2,1,3,2,2,3,2,2,7
EOR,1,2,2,1,2,4,1,2,2,7
LAT,3,1,3,3,1,3,3,1,3,7
ETH,2,1,0,2,6,2,2,2,2,6
ALG,2,2,1,2,3,2,2,2,1,6
MAR,0,2,4,0,2,5,0,2,5,6
AUT,3,0,1,3,1,2,3,0,2,6
PUR,2,3,1,4,3,2,2,3,2,6
THA,1,2,1,2,2,2,2,2,1,5
CRO,2,2,0,2,2,1,2,2,1,5
ECU,2,0,2,3,1,3,2,0,3,5
UGA,0,1,1,1,4,1,1,3,1,5
ANG,0,2,0,1,3,1,0,2,0,5
ISR,2,2,1,2,2,2,2,2,1,5
MGL,1,3,1,1,4,1,1,4,1,5
FIJ,0,1,0,2,5,1,1,4,0,5
URU,0,2,0,1,3,1,0,2,0,5
CHI,0,2,0,1,3,1,0,2,0,5
AIN,1,1,0,3,1,0,1,1,0,4
ZAM,1,3,0,1,3,0,1,3,0,4
AZE,1,0,2,1,1,2,1,1,2,4
GUI,0,4,0,0,4,0,0,4,0,4
GEO,1,1,0,2,2,0,2,2,0,3
MLI,0,3,0,0,3,0,0,3,0,3
TPE,2,1,0,2,1,0,2,1,0,3
VEN,0,2,1,1,2,2,0,2,2,3
PAR,0,3,0,0,4,0,0,4,0,3
INA,0,1,1,1,1,2,1,1,2,3
PER,0,1,0,1,2,0,0,2,0,3
IRQ,0,3,0,0,3,0,0,3,0,3
BUL,1,1,0,1,1,1,1,1,0,3
LTU,2,1,0,2,2,1,2,1,1,3
TUN,0,0,0,1,1,0,0,0,0,2
GUA,1,0,1,1,0,1,1,0,1,2
BAH,0,2,0,1,2,0,0,2,0,2
TTO,0,1,0,1,1,0,0,1,0,2
MNE,0,1,0,0,2,0,0,2,0,2
HKG,0,1,1,0,1,1,0,1,1,2
MDA,0,1,0,0,2,0,0,2,0,1
SSD,0,1,0,0,2,0,0,2,0,1
MAS,0,1,0,0,1,0,0,1,0,1
PHI,0,0,0,1,0,0,0,0,0,1
BRN,0,0,0,0,2,0,0,1,0,1
EST,0,0,1,0,0,1,0,0,1,1
LBR,0,1,0,0,2,0,0,1,0,1
UAE,0,0,0,0,1,0,0,0,0,1
JOR,0,0,0,0,1,0,0,0,0,1
ERI,0,1,0,0,2,0,0,2,0,1
SGP,0,0,0,0,1,1,0,0,1,1
LUX,0,0,0,0,1,0,0,0,0,1
CYP,0,0,0,0,1,0,0,0,0,1
SAM,0,1,0,0,1,0,0,1,0,1
QAT,0,0,0,0,0,0,0,0,0,0
TAN,0,0,0,0,0,0,0,0,0,0
DJI,0,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,0,0
CIV,0,0,0,0,0,0,0,0,0,0
TJK,0,0,0,0,0,0,0,0,0,0
KGZ,0,0,0,0,1,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0
SVK,0,0,0,0,0,0,0,0,0,0
BOT,0,0,0,0,2,0,0,0,0,0
GRN,0,0,0,0,0,0,0,0,0,0
ZIM,0,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0
KOS,0,0,0,0,0,0,0,0,0,0
