Country,Gold,Silver,Bronze

FRA,57,48,58

DEN,22,16,9

NED,64,21,30

FIN,7,16,6

NOR,29,8,17

ROU,21,17,10

EST,1,2,3

CHN,101,100,43

MAR,2,7,8

ESP,63,33,32

EGY,4,13,7

IRI,11,11,4

BUL,6,6,4

ITA,49,49,36

GER,56,62,38

AZE,4,3,6

ARG,15,18,25

CUB,10,5,6

GRE,22,10,7

TUR,9,6,15

CHI,6,10,8

MEX,18,10,16

USA,130,111,64

HUN,25,22,23

NGR,11,8,10

ALG,5,9,4

BRN,2,5,1

PAK,0,2,0

IRQ,1,9,1

QAT,1,1,0

MAS,3,3,2

CAN,43,27,39

IRL,15,30,17

AUS,64,46,61

RSA,13,20,15

ERI,0,4,0

TAN,0,2,0

JOR,2,6,2

TUN,6,5,2

BEL,29,19,18

DJI,0,2,0

KAZ,8,9,6

IND,23,12,14

KSA,0,2,0

ETH,8,4,7

UAE,1,3,0

INA,5,1,4

PHI,3,4,2

SGP,1,4,0

UZB,15,11,5

KGZ,1,1,0

TJK,1,3,1

JPN,44,62,42

SUI,10,11,16

BRA,23,27,37

ISR,6,6,5

URU,5,10,7

SWE,10,8,5

SRI,0,2,0

ARM,0,2,2

CIV,1,2,2

KEN,13,23,11

GBR,69,51,40

GHA,0,2,0

MLI,2,10,1

POL,25,25,15

GEO,0,6,2

SLO,24,7,19

NZL,58,30,31

POR,6,9,10

PAR,1,9,1

ANG,4,9,6

VEN,2,7,2

COL,15,9,7

PER,5,6,4

PUR,3,8,4

UGA,4,10,3

ECU,5,6,2

LUX,2,3,2

TTO,3,5,3

DOM,5,9,2

JAM,14,13,2

LBR,0,4,0

MGL,5,9,5

AUT,9,4,10

LTU,7,4,0

UKR,18,25,22

SAM,0,4,0

CRO,6,8,6

CYP,2,5,2

GUI,2,10,1

THA,3,9,8

BER,0,2,0

FIJ,6,12,1

MDA,2,1,2

BAH,0,6,2

GUA,3,2,3

LAT,8,3,9

SRB,15,5,15

IVB,0,2,0

SVK,2,2,2

BOT,2,1,2

KOR,28,20,11

PRK,2,3,0

SEN,0,2,0

CZE,17,11,5

ZIM,0,2,0

GRN,0,1,0

HKG,2,3,4

ZAM,4,8,0

TPE,7,5,2

MNE,1,7,0

GAM,0,2,0

ALB,0,2,0

BDI,0,2,0

KOS,1,2,0

SSD,0,4,0

EOR,5,6,13

AIN,13,3,1

