Country,Gold,Silver,Bronze

FRA,68,50,48

DEN,26,21,20

NED,74,23,39

FIN,7,15,6

NOR,28,4,17

ROU,32,22,9

EST,1,2,4

CHN,115,89,51

MAR,-1,6,13

ESP,53,26,35

EGY,1,8,10

IRI,5,6,4

BUL,3,3,2

ITA,42,50,38

AZE,3,2,5

ARG,12,25,21

CUB,8,7,5

GRE,9,10,7

TUR,8,5,15

CHI,2,5,0

MEX,12,10,10

USA,118,101,59

HUN,19,16,24

NGR,11,5,10

ALG,5,6,5

BRN,0,0,0

IRQ,1,9,1

QAT,1,1,1

MAS,0,4,0

GER,58,61,37

CAN,49,27,45

IRL,18,27,15

AUS,73,61,61

RSA,21,12,14

ERI,1,5,0

TAN,0,2,0

JOR,0,1,0

TUN,0,0,0

BEL,15,22,19

DJI,0,2,0

KAZ,4,6,6

IND,4,4,11

ETH,7,3,1

UAE,0,2,0

INA,4,4,6

PHI,2,0,0

SGP,1,2,3

UZB,11,5,6

KGZ,0,1,0

TJK,0,1,0

JPN,49,68,40

SUI,7,11,14

BRA,21,28,39

ISR,5,5,5

URU,1,7,1

SWE,12,14,6

ARM,1,2,0

CIV,0,2,0

KEN,14,11,14

GBR,52,48,37

GHA,0,2,0

MLI,1,9,1

POL,28,26,15

GEO,5,3,1

SLO,11,8,21

NZL,57,37,24

POR,6,9,8

PAR,2,10,1

ANG,1,7,1

VEN,2,6,5

COL,13,6,1

PER,0,4,0

PUR,7,8,5

UGA,1,4,3

ECU,8,1,8

LUX,0,2,0

TTO,2,3,2

DOM,14,9,8

JAM,3,22,7

LBR,0,5,0

MGL,3,10,4

AUT,8,2,5

LTU,6,4,3

UKR,9,18,21

SAM,0,4,0

CRO,6,6,4

CYP,0,2,0

GUI,2,10,1

THA,6,5,4

FIJ,0,3,4

MDA,1,5,2

BAH,0,6,2

GUA,4,2,4

LAT,9,3,9

SRB,12,23,18

SVK,1,2,1

BOT,2,1,2

KOR,26,15,10

CZE,15,9,13

ZIM,0,2,0

GRN,1,2,0

HKG,2,4,4

ZAM,4,8,0

TPE,5,4,2

MNE,0,4,0

BDI,0,2,0

KOS,0,2,0

SSD,0,5,0

EOR,4,6,7

AIN,3,4,0

