Year,United States,China,Japan,Australia,France,Netherlands,Great Britain,South Korea,Italy,Germany,New Zealand,Canada,Uzbekistan,Hungary,Spain,Sweden
1896,20,0,0,2,11,0,7,0,0,13,0,0,0,6,0,0
1900,48,0,0,5,103,5,31,0,5,9,0,2,0,5,1,1
1904,231,0,0,4,1,0,2,0,0,15,0,6,0,4,0,0
1908,47,0,0,0,19,2,146,0,4,13,0,16,0,9,0,25
1912,64,0,0,0,14,3,41,0,6,25,0,8,0,8,0,65
1920,95,0,2,3,41,11,42,0,23,0,1,9,0,0,2,64
1924,99,0,1,6,38,10,34,0,16,0,1,4,0,9,0,29
1928,56,0,5,4,21,19,20,0,19,31,1,15,0,9,1,25
1932,110,0,18,5,20,8,17,0,36,24,1,16,0,16,1,24
1936,57,0,20,1,19,17,14,0,27,101,1,9,0,16,0,21
1948,84,0,0,13,29,16,23,2,27,0,0,3,0,27,1,44
1952,76,0,9,11,18,5,11,2,21,24,3,3,0,42,1,35
1956,74,0,19,35,14,0,24,2,25,0,2,6,0,26,0,19
1960,71,0,18,22,5,3,20,0,36,0,3,1,0,21,1,6
1964,90,0,29,18,15,10,18,3,27,0,5,4,0,22,0,8
1968,107,0,25,17,15,7,13,2,16,0,3,5,0,32,0,4
1972,94,0,29,17,13,5,18,1,18,0,3,5,0,35,1,16
1976,94,0,25,5,9,5,13,6,13,0,4,11,0,22,2,5
1980,0,0,0,9,14,3,21,0,15,0,0,0,0,32,6,12
1984,174,32,32,24,28,13,37,19,32,0,11,44,0,0,5,19
1988,94,28,14,14,16,9,24,33,14,0,13,10,0,23,4,11
1992,108,54,22,27,29,15,20,29,19,82,10,18,0,30,22,12
1996,101,50,14,41,37,19,15,27,35,65,6,22,2,21,17,8
2000,93,58,18,58,38,25,28,28,34,56,4,14,4,17,11,12
2004,101,63,37,50,33,22,30,30,32,49,5,12,5,17,20,7
2008,112,100,25,46,43,16,51,32,27,41,9,20,4,10,19,5
2012,104,92,38,35,35,20,65,31,28,44,13,18,3,18,20,8
2016,121,70,41,29,42,19,67,21,28,42,18,22,13,15,17,11
2020,113,89,58,46,33,36,64,20,40,37,20,24,5,20,17,9
2024,126,91,45,53,64,34,65,32,40,33,20,27,13,19,18,11
2028,117,95,58,71,64,47,0,21,53,61,45,43,0,25,50,0
